ADP,PLAYER,POS,TEAM,GP,MPG,FGM,FG%,FTM,FT%,3PTM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,A/TO,TOTAL,FGM_calc,FGA,FTM_calc,FTA,3PM_calc,3PA,DD_calc
7.7,Cade Cunningham,"PG,SG",DET,70,35.2,684.6,0.463,324.1,0.856,154.7,0.357,1848,413,652.4,70,58.1,286.3,31,2.3,19.48,684.6,1479.8,324.1,378.7,154.7,433.3,TRUE
18.3,LeBron James,"SF,PF",LAL,68,33.9,629,0.526,264.5,0.764,140.1,0.392,1661.9,500.5,547.4,74.8,36,237.3,31.1,2.3,18.71,629.0,1194.8,264.5,346.1,140.1,357.0,TRUE
13.8,Devin Booker,"PG,SG",PHO,72,36.6,658.1,0.476,424.8,0.89,169.9,0.346,1910.9,311,547.9,64.8,22.3,202.3,15.3,2.7,16.93,658.1,1383.8,424.8,477.4,169.9,491.8,TRUE
35.5,Ivica Zubac,C,LAC,74,29.6,464.7,0.636,138.4,0.688,0,0.0,1068.6,819.2,153.9,38.5,86.6,102.9,54.6,1.5,16.83,464.7,731.1,138.4,201.3,0.0,0.0,TRUE
18,Alperen Sengün,C,HOU,74,32.9,573.5,0.507,303.4,0.702,38.5,0.321,1488.9,742.2,386.3,84.4,69.6,179.8,43.8,2.2,16.62,573.5,1130.7,303.4,432.2,38.5,119.9,TRUE
18.9,Stephen Curry,PG,GS,68,32,552.8,0.449,272,0.928,300.6,0.402,1678.2,300.6,388.3,63.2,27.2,193.1,8.8,2,16.55,552.8,1230.8,272.0,293.1,300.6,748.0,TRUE
21.1,Evan Mobley,"PF,C",CLE,70,30.6,519.4,0.558,210,0.721,85.4,0.37,1334.2,669.2,233.8,65.1,106.4,143.5,36.5,1.6,16.44,519.4,931.0,210.0,291.2,85.4,231.0,TRUE
22.7,Jalen Brunson,PG,NY,68,34.4,646,0.483,370.6,0.835,159.8,0.389,1822.4,200.6,491,61.2,10.2,164.6,14.6,3,14.68,646.0,1338.2,370.6,444.0,159.8,410.7,TRUE
22.7,Kevin Durant,"SF,PF",HOU,65,34,592.8,0.524,293.8,0.848,145,0.422,1624.4,383.5,306.8,52.7,65,202.8,5.3,1.5,14.6,592.8,1130.4,293.8,346.5,145.0,343.9,TRUE
55.4,Jarrett Allen,C,CLE,78,28.2,430.6,0.67,202.8,0.732,0,0.0,1063.9,743.3,172.4,60.8,72.5,102.2,38.1,1.7,14.33,430.6,642.7,202.8,276.9,0.0,5.5,TRUE
55.4,Nikola Vucevic,C,CHI,74,30,521,0.505,103.6,0.809,101.4,0.349,1246.9,705.2,186.5,51.1,51.1,112.5,45.6,1.7,14.02,521.0,1031.6,103.6,128.0,101.4,290.8,TRUE
34,Bam Adebayo,"PF,C",MIA,74,34.2,518.7,0.483,264.9,0.758,81.4,0.344,1383.8,726.7,300.4,79.2,50.3,157.6,36,1.9,13.86,518.7,1074.5,264.9,349.3,81.4,236.8,TRUE
