FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
15,1,6,4,0,2,8,8,0,0,1,1,0,7,2,Trey Murphy III
8,1,1,4,1,0,6,6,1,0,0,1,0,7,0,Dyson Daniels
1,1,3,0,0,0,3,3,1,4,0,2,0,7,1,Dyson Daniels
5,1,2,3,0,0,3,4,4,0,0,0,0,7,2,Dyson Daniels
15,5,9,5,5,5,16,5,3,0,0,1,0,7,0,Norman Powell
15,5,8,5,5,4,19,5,2,1,1,3,0,7,1,Norman Powell
16,1,4,4,0,0,19,4,3,1,0,1,0,7,2,Norman Powell
11,2,7,5,2,1,14,4,4,1,0,3,0,7,0,Immanuel Quickley
15,5,9,8,4,2,11,2,9,0,0,4,0,7,1,Immanuel Quickley
9,1,6,5,0,0,10,3,7,0,0,1,0,7,2,Immanuel Quickley
4,1,5,2,0,2,9,4,1,1,0,1,0,7,0,Toumani Camara
13,3,3,7,2,1,8,7,3,0,0,1,0,7,1,Toumani Camara
4,2,4,0,1,0,10,8,1,0,0,1,0,7,2,Toumani Camara
14,2,6,8,0,1,16,9,1,2,0,2,0,7,0,Jabari Smith Jr.
10,1,3,6,0,0,12,3,1,0,0,0,0,7,1,Jabari Smith Jr.
15,4,5,6,1,3,13,6,1,1,1,1,0,7,2,Jabari Smith Jr.
11,2,2,4,0,2,11,2,4,1,1,3,0,7,0,Kyshawn George
15,2,6,4,1,1,8,2,1,1,1,0,0,7,1,Kyshawn George
11,2,5,4,1,0,9,8,2,0,1,3,0,7,2,Kyshawn George
11,1,3,1,0,0,14,5,1,0,2,1,0,7,0,Rui Hachimura
8,1,5,6,1,1,4,5,2,1,0,1,0,7,1,Rui Hachimura
7,1,1,4,0,0,15,8,0,1,0,2,0,7,2,Rui Hachimura
4,5,1,0,4,0,4,5,0,0,0,2,0,7,0,Moussa Diabate
6,2,1,1,1,0,5,9,0,0,0,0,0,7,1,Moussa Diabate
7,2,1,2,1,0,4,6,0,2,1,0,0,7,2,Moussa Diabate
7,2,2,4,2,0,15,2,3,2,1,1,0,8,0,Amen Thompson
7,1,2,3,1,0,17,4,1,0,2,1,0,8,1,Amen Thompson
13,3,1,5,2,0,15,6,1,1,0,5,0,8,2,Amen Thompson
11,1,6,2,0,1,11,6,3,0,0,0,0,8,0,Trey Murphy III
9,1,4,2,1,1,13,2,1,1,0,0,0,8,1,Trey Murphy III
8,4,6,0,3,0,12,1,0,1,0,1,0,8,2,Trey Murphy III
5,1,1,2,0,0,5,3,1,4,0,3,0,8,0,Dyson Daniels
3,1,1,1,0,0,3,0,5,1,0,4,0,8,1,Dyson Daniels
5,1,1,3,0,0,2,1,1,1,0,0,0,8,2,Dyson Daniels
13,3,4,4,3,3,18,6,3,0,0,0,0,8,0,Norman Powell
22,3,4,8,2,2,20,5,1,0,0,2,0,8,1,Norman Powell
18,5,3,5,4,1,22,8,4,1,0,3,0,8,2,Norman Powell
8,4,9,6,2,1,18,9,7,0,0,1,0,8,0,Immanuel Quickley
18,1,7,8,0,6,20,6,3,0,0,2,0,8,1,Immanuel Quickley
12,8,7,5,6,3,13,4,7,1,0,0,0,8,2,Immanuel Quickley
9,1,5,6,1,2,8,8,1,0,2,1,0,8,0,Toumani Camara
9,5,3,5,3,1,5,6,2,3,0,1,0,8,1,Toumani Camara
6,1,2,1,0,1,4,3,3,0,0,0,0,8,2,Toumani Camara
14,3,4,4,0,0,15,7,2,1,0,0,0,8,0,Jabari Smith Jr.
18,1,4,6,1,2,6,5,0,0,1,1,0,8,1,Jabari Smith Jr.
13,4,5,5,1,2,19,8,0,2,1,0,0,8,2,Jabari Smith Jr.
7,1,5,3,0,3,13,2,3,1,0,3,0,8,0,Kyshawn George
4,1,8,2,1,2,15,4,3,2,3,1,0,8,1,Kyshawn George
8,1,10,2,0,2,6,5,3,0,0,0,0,8,2,Kyshawn George
11,1,4,4,0,1,12,6,2,0,0,0,0,8,0,Rui Hachimura
10,2,4,6,1,3,13,7,2,0,0,3,0,8,1,Rui Hachimura
10,1,3,5,0,0,14,1,3,0,0,0,0,8,2,Rui Hachimura
7,1,1,1,1,0,8,5,0,1,0,3,0,8,0,Moussa Diabate
5,1,1,5,1,0,3,2,0,1,0,1,0,8,1,Moussa Diabate
7,1,1,5,0,0,3,8,0,0,1,0,0,8,2,Moussa Diabate
6,3,1,3,3,0,9,5,7,2,0,1,0,9,0,Amen Thompson
12,4,1,9,2,0,11,6,2,1,2,8,0,9,1,Amen Thompson
8,4,2,5,0,0,7,10,1,3,0,4,0,9,2,Amen Thompson
9,1,3,5,0,0,10,7,0,2,0,1,0,9,0,Trey Murphy III
9,1,3,1,1,0,12,2,2,1,1,1,0,9,1,Trey Murphy III
10,3,6,6,2,2,12,4,2,0,1,0,0,9,2,Trey Murphy III
1,1,1,0,0,0,6,2,1,1,0,2,0,9,0,Dyson Daniels
6,1,3,3,0,0,5,1,3,0,0,2,0,9,1,Dyson Daniels
3,1,1,2,1,0,4,0,3,3,0,1,0,9,2,Dyson Daniels
16,3,8,8,1,3,22,3,3,1,0,0,0,9,0,Norman Powell
11,4,3,5,1,2,16,3,2,0,0,3,0,9,1,Norman Powell
16,4,4,8,4,2,22,5,5,1,0,1,0,9,2,Norman Powell
4,4,8,1,3,1,13,5,6,0,1,2,0,9,0,Immanuel Quickley
9,4,2,4,3,0,14,3,2,0,0,1,0,9,1,Immanuel Quickley
10,5,8,3,3,3,17,4,2,0,0,3,0,9,2,Immanuel Quickley
8,1,6,3,0,2,5,9,4,0,0,2,0,9,0,Toumani Camara
