FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
18,4,4,8,1,0,9,3,0,1,0,1,0,3,2,Tim Hardaway Jr.
16,11,14,5,11,5,37,6,5,6,0,2,0,4,0,Stephen Curry
21,4,8,9,3,1,28,1,5,4,1,2,0,4,1,Stephen Curry
13,6,11,5,6,5,27,3,6,3,1,3,0,4,2,Stephen Curry
9,3,1,8,0,0,16,9,2,0,1,0,0,4,0,Ivica Zubac
7,1,1,7,0,0,14,10,2,0,1,2,1,4,1,Ivica Zubac
8,1,1,3,1,0,20,6,2,0,0,1,0,4,2,Ivica Zubac
11,7,6,2,6,2,20,1,2,1,1,0,0,4,0,Cooper Flagg
17,6,2,9,6,1,14,3,4,1,1,1,0,4,1,Cooper Flagg
16,4,3,11,3,2,18,9,7,1,0,2,0,4,2,Cooper Flagg
8,3,4,3,2,1,16,4,4,1,0,5,0,4,0,Austin Reaves
10,6,4,6,3,0,18,8,8,0,0,3,0,4,1,Austin Reaves
19,9,4,9,6,0,18,3,5,1,0,1,0,4,2,Austin Reaves
19,7,9,10,6,2,25,6,5,1,0,3,0,4,0,Kawhi Leonard
20,2,6,10,2,1,19,7,4,1,2,3,0,4,1,Kawhi Leonard
13,4,10,7,3,3,19,7,3,2,0,1,0,4,2,Kawhi Leonard
7,1,8,5,0,2,10,2,1,3,0,2,0,4,0,Payton Pritchard
10,1,8,5,0,5,9,3,1,0,0,0,0,4,1,Payton Pritchard
7,1,3,1,1,0,8,5,2,0,0,0,0,4,2,Payton Pritchard
15,1,1,8,0,0,11,7,0,0,1,1,0,4,0,Deandre Ayton
16,3,1,10,0,0,15,10,0,0,3,4,1,4,1,Deandre Ayton
14,1,1,9,1,0,15,7,2,0,0,3,0,4,2,Deandre Ayton
9,1,4,4,1,1,13,2,3,1,0,3,0,4,0,Devin Vassell
9,2,3,4,0,0,12,7,0,1,0,2,0,4,1,Devin Vassell
7,1,4,4,0,1,11,3,2,2,0,0,0,4,2,Devin Vassell
5,2,1,1,0,1,4,3,2,0,3,4,0,4,0,Dereck Lively II
7,2,1,5,2,1,8,6,3,2,1,0,0,4,1,Dereck Lively II
11,1,1,6,0,1,9,4,1,2,2,0,0,4,2,Dereck Lively II
10,4,2,4,3,0,8,13,4,0,0,3,0,4,0,Wendell Carter Jr.
10,5,1,3,3,1,13,4,1,1,1,2,0,4,1,Wendell Carter Jr.
5,2,2,2,0,0,13,6,2,0,0,2,0,4,2,Wendell Carter Jr.
2,1,1,1,0,1,7,1,2,2,0,2,0,4,0,Ajay Mitchell
4,1,1,2,0,1,8,1,2,1,0,1,0,4,1,Ajay Mitchell
2,2,4,0,1,0,6,0,0,2,0,2,0,4,2,Ajay Mitchell
14,5,10,7,2,6,17,7,1,1,0,0,0,4,0,Tim Hardaway Jr.
13,1,9,7,1,5,16,1,0,0,1,0,0,4,1,Tim Hardaway Jr.
5,4,8,2,3,2,18,4,2,1,0,0,0,4,2,Tim Hardaway Jr.
21,4,12,10,3,5,29,3,1,2,0,3,0,5,0,Stephen Curry
12,6,7,6,5,3,27,4,10,2,2,1,1,5,1,Stephen Curry
13,6,12,4,5,4,26,2,3,1,0,2,0,5,2,Stephen Curry
8,3,1,4,3,0,10,11,1,0,1,1,1,5,0,Ivica Zubac
10,1,1,7,1,0,11,10,1,0,0,3,1,5,1,Ivica Zubac
5,4,1,4,3,0,15,6,1,0,1,2,0,5,2,Ivica Zubac
8,3,2,2,2,0,11,6,5,0,0,1,0,5,0,Cooper Flagg
13,2,8,3,2,1,20,4,5,1,0,3,0,5,1,Cooper Flagg
9,3,6,4,3,0,19,3,0,1,1,0,0,5,2,Cooper Flagg
12,1,4,2,0,2,11,3,8,1,0,3,0,5,0,Austin Reaves
12,14,2,7,10,0,18,7,9,4,0,4,0,5,1,Austin Reaves
15,4,5,10,2,0,12,2,3,3,1,3,0,5,2,Austin Reaves
15,5,3,4,3,3,23,7,3,0,1,4,0,5,0,Kawhi Leonard
20,1,3,10,0,1,18,9,0,0,0,1,0,5,1,Kawhi Leonard
13,8,5,2,7,2,19,10,3,2,1,0,1,5,2,Kawhi Leonard
11,3,8,4,2,4,10,4,3,2,0,0,0,5,0,Payton Pritchard
7,1,9,3,0,3,6,2,3,0,0,0,0,5,1,Payton Pritchard
11,3,4,6,1,0,15,1,2,0,0,2,0,5,2,Payton Pritchard
18,1,1,14,0,0,8,7,0,1,1,1,0,5,0,Deandre Ayton
11,1,1,7,0,0,19,7,2,0,0,2,0,5,1,Deandre Ayton
14,1,1,12,0,0,20,10,1,0,0,0,1,5,2,Deandre Ayton
12,1,4,5,0,4,23,6,2,0,0,0,0,5,0,Devin Vassell
8,1,4,1,0,1,18,5,1,0,0,1,0,5,1,Devin Vassell
9,1,5,6,1,3,14,0,3,1,0,1,0,5,2,Devin Vassell
7,2,1,5,1,1,6,6,0,1,1,0,0,5,0,Dereck Lively II
2,1,1,0,1,0,8,4,2,0,2,3,0,5,1,Dereck Lively II
1,2,1,1,1,1,6,3,0,1,1,0,0,5,2,Dereck Lively II
5,1,4,2,0,0,10,14,2,1,3,0,1,5,0,Wendell Carter Jr.
9,3,4,6,2,1,11,10,3,0,1,2,1,5,1,Wendell Carter Jr.
7,8,1,4,8,0,8,6,1,1,0,0,0,5,2,Wendell Carter Jr.
5,1,1,3,0,1,4,2,2,1,0,0,0,5,0,Ajay Mitchell
3,1,1,0,0,0,10,1,0,2,0,1,0,5,1,Ajay Mitchell
7,1,1,4,0,1,10,1,1,2,0,1,0,5,2,Ajay Mitchell
12,3,13,5,3,5,16,1,2,0,0,1,0,5,0,Tim Hardaway Jr.
11,2,9,5,2,3,18,1,0,0,0,2,0,5,1,Tim Hardaway Jr.
10,1,4,3,1,0,18,3,4,0,0,0,0,5,2,Tim Hardaway Jr.
20,3,13,5,3,5,34,3,7,3,0,5,0,6,0,Stephen Curry
15,4,6,3,4,2,37,6,7,0,1,2,0,6,1,Stephen Curry
19,5,8,7,5,3,24,1,5,1,0,1,0,6,2,Stephen Curry
17,2,1,9,2,0,11,12,1,0,1,1,1,6,0,Ivica Zubac
9,1,1,4,1,0,14,12,2,0,2,3,1,6,1,Ivica Zubac
9,1,1,5,0,0,14,12,1,0,2,1,1,6,2,Ivica Zubac
13,3,2,7,2,2,9,1,3,1,0,1,0,6,0,Cooper Flagg
10,7,2,6,7,0,19,4,2,2,1,2,0,6,1,Cooper Flagg
12,6,3,8,6,2,16,7,4,1,0,3,0,6,2,Cooper Flagg
12,4,4,6,2,1,13,6,8,0,0,2,0,6,0,Austin Reaves
5,5,4,2,3,0,17,2,6,1,0,1,0,6,1,Austin Reaves
10,11,7,5,7,2,24,2,2,0,1,5,0,6,2,Austin Reaves
17,3,5,7,2,1,23,6,2,0,0,2,0,6,0,Kawhi Leonard
12,9,7,9,9,2,25,5,3,1,1,2,0,6,1,Kawhi Leonard
25,6,6,11,4,1,12,5,4,0,1,0,0,6,2,Kawhi Leonard
10,1,2,4,0,0,9,5,2,3,0,1,0,6,0,Payton Pritchard
6,2,4,4,0,2,12,6,2,1,0,1,0,6,1,Payton Pritchard
8,1,1,3,0,0,16,2,0,3,0,1,0,6,2,Payton Pritchard
9,2,2,8,0,0,20,11,0,0,0,4,1,6,0,Deandre Ayton
9,3,1,5,1,0,11,12,1,2,4,2,1,6,1,Deandre Ayton
13,1,1,6,0,0,15,4,0,1,1,1,0,6,2,Deandre Ayton
11,1,5,5,0,3,9,3,3,2,1,0,0,6,0,Devin Vassell
6,2,9,2,0,2,6,2,3,1,0,2,0,6,1,Devin Vassell
11,2,3,6,1,1,13,4,0,4,0,0,0,6,2,Devin Vassell
7,2,1,5,1,1,8,5,0,1,2,2,0,6,0,Dereck Lively II
4,2,1,3,1,1,5,4,1,0,0,0,0,6,1,Dereck Lively II
6,4,1,4,1,1,4,7,4,0,2,1,0,6,2,Dereck Lively II
11,4,1,5,3,1,5,12,1,1,0,1,0,6,0,Wendell Carter Jr.
7,3,3,3,2,1,15,9,2,2,1,3,0,6,1,Wendell Carter Jr.
5,4,5,4,2,2,18,10,0,1,1,1,1,6,2,Wendell Carter Jr.
3,2,2,2,1,1,7,4,0,2,0,2,0,6,0,Ajay Mitchell
4,1,1,3,0,1,8,1,1,0,0,3,0,6,1,Ajay Mitchell
4,3,1,2,1,0,6,3,3,0,0,3,0,6,2,Ajay Mitchell
15,2,6,6,0,0,12,5,0,1,0,1,0,6,0,Tim Hardaway Jr.
12,3,9,3,1,2,11,2,3,0,0,2,0,6,1,Tim Hardaway Jr.
13,5,8,3,2,3,17,5,2,2,1,0,0,6,2,Tim Hardaway Jr.
26,4,14,14,4,6,32,4,7,2,1,3,0,7,0,Stephen Curry
22,5,7,7,4,4,23,1,3,4,0,0,0,7,1,Stephen Curry
23,5,5,9,5,0,29,5,9,2,2,2,0,7,2,Stephen Curry
9,1,1,4,1,0,13,4,1,0,1,0,0,7,0,Ivica Zubac
5,2,1,3,1,0,11,11,0,0,0,0,1,7,1,Ivica Zubac
15,5,1,12,5,0,13,13,3,1,1,3,1,7,2,Ivica Zubac
17,4,2,9,3,0,16,6,5,2,1,2,0,7,0,Cooper Flagg
12,2,3,9,1,2,14,7,3,0,0,2,0,7,1,Cooper Flagg
12,3,5,5,3,1,15,4,9,4,1,1,0,7,2,Cooper Flagg
8,2,2,4,1,1,19,2,5,4,0,1,0,7,0,Austin Reaves
5,8,3,1,6,1,18,1,8,0,1,0,0,7,1,Austin Reaves
14,6,5,9,4,1,23,3,4,0,0,1,0,7,2,Austin Reaves
15,3,4,8,3,2,21,5,4,2,0,0,0,7,0,Kawhi Leonard
19,5,2,9,5,1,17,6,6,1,1,2,0,7,1,Kawhi Leonard
11,4,5,5,4,2,15,7,2,2,0,3,0,7,2,Kawhi Leonard
13,2,3,7,0,1,9,5,3,1,0,2,0,7,0,Payton Pritchard
8,2,4,2,1,1,9,5,4,2,0,0,0,7,1,Payton Pritchard
8,3,7,3,2,2,14,4,4,0,0,2,0,7,2,Payton Pritchard
9,1,1,7,1,0,14,9,0,0,0,2,0,7,0,Deandre Ayton
11,4,1,5,2,0,16,10,2,1,0,1,1,7,1,Deandre Ayton
12,3,1,7,1,0,15,8,2,0,1,2,0,7,2,Deandre Ayton
15,1,6,10,0,2,16,6,4,2,0,1,0,7,0,Devin Vassell
11,2,1,3,1,1,7,1,1,1,1,2,0,7,1,Devin Vassell
10,1,7,5,0,2,10,2,3,2,0,0,0,7,2,Devin Vassell
3,1,1,3,1,1,8,8,4,0,0,0,0,7,0,Dereck Lively II
2,2,1,2,2,1,12,7,3,1,0,1,0,7,1,Dereck Lively II
4,1,1,1,1,1,5,1,0,0,1,1,0,7,2,Dereck Lively II
4,2,4,2,2,0,11,13,5,1,0,2,1,7,0,Wendell Carter Jr.
14,2,3,5,2,0,10,5,2,0,1,2,0,7,1,Wendell Carter Jr.
12,2,3,6,2,1,12,7,1,1,0,5,0,7,2,Wendell Carter Jr.
3,1,1,0,1,0,5,3,2,0,0,1,0,7,0,Ajay Mitchell
4,1,2,2,1,1,6,1,2,0,0,2,0,7,1,Ajay Mitchell
3,3,1,1,1,1,9,1,2,1,0,1,0,7,2,Ajay Mitchell
18,3,4,4,2,2,14,2,0,1,0,1,0,7,0,Tim Hardaway Jr.
16,2,10,6,1,3,25,4,4,1,0,1,0,7,1,Tim Hardaway Jr.
15,1,5,4,0,2,10,2,3,3,0,0,0,7,2,Tim Hardaway Jr.
20,8,14,9,8,7,16,5,4,2,1,4,0,8,0,Stephen Curry
19,7,10,12,7,1,22,4,7,1,0,4,0,8,1,Stephen Curry
19,6,10,12,5,5,35,5,6,2,1,1,0,8,2,Stephen Curry
11,3,1,6,2,0,8,5,1,0,6,2,0,8,0,Ivica Zubac
5,5,1,2,3,0,12,6,2,0,0,0,0,8,1,Ivica Zubac
7,2,1,6,1,0,9,7,1,0,1,3,0,8,2,Ivica Zubac
19,3,2,5,2,2,13,11,3,2,1,0,1,8,0,Cooper Flagg
12,3,4,5,3,3,26,3,7,1,0,0,0,8,1,Cooper Flagg
9,1,7,3,1,2,23,2,2,0,0,0,0,8,2,Cooper Flagg
12,5,6,6,4,0,10,1,6,2,0,2,0,8,0,Austin Reaves
9,6,5,7,3,1,12,4,7,3,0,1,0,8,1,Austin Reaves
6,5,5,2,4,1,19,3,10,1,0,2,1,8,2,Austin Reaves
15,11,5,3,9,1,13,6,3,3,0,2,0,8,0,Kawhi Leonard
23,7,5,7,5,3,21,8,2,3,2,5,0,8,1,Kawhi Leonard
18,3,3,9,3,2,16,8,5,2,1,2,0,8,2,Kawhi Leonard
7,3,6,4,2,2,6,3,4,0,0,1,0,8,0,Payton Pritchard
2,1,5,0,0,0,13,0,0,2,0,1,0,8,1,Payton Pritchard
8,1,6,6,0,0,13,6,3,2,0,1,0,8,2,Payton Pritchard
19,5,1,14,1,0,16,8,3,0,1,3,0,8,0,Deandre Ayton
11,4,1,5,2,0,17,14,0,0,0,4,1,8,1,Deandre Ayton
5,4,1,1,2,0,6,9,1,0,2,2,0,8,2,Deandre Ayton
13,1,6,5,1,4,10,8,1,2,0,1,0,8,0,Devin Vassell
17,1,4,3,0,2,15,5,5,2,0,0,0,8,1,Devin Vassell
11,1,6,4,0,1,9,2,5,6,0,2,0,8,2,Devin Vassell
6,3,1,3,1,1,5,6,4,0,3,0,0,8,0,Dereck Lively II
6,3,1,3,2,1,9,3,1,1,2,2,0,8,1,Dereck Lively II
6,2,1,4,2,1,8,5,3,1,1,3,0,8,2,Dereck Lively II
10,3,2,5,3,1,13,9,2,1,2,0,0,8,0,Wendell Carter Jr.
9,6,2,5,3,1,13,9,2,1,0,3,0,8,1,Wendell Carter Jr.
7,4,1,2,4,0,6,6,3,0,5,0,0,8,2,Wendell Carter Jr.
9,1,3,2,1,2,10,0,3,0,0,1,0,8,0,Ajay Mitchell
6,1,2,2,0,0,9,2,4,2,0,0,0,8,1,Ajay Mitchell
4,1,3,2,1,0,8,1,2,1,0,1,0,8,2,Ajay Mitchell
15,4,11,6,2,3,16,4,1,2,0,1,0,8,0,Tim Hardaway Jr.
10,3,7,5,1,3,25,5,4,1,0,1,0,8,1,Tim Hardaway Jr.
13,3,11,6,3,2,20,5,2,1,0,1,0,8,2,Tim Hardaway Jr.
13,4,13,7,2,5,32,4,4,2,0,2,0,9,0,Stephen Curry
18,7,8,5,6,1,21,2,4,0,0,0,0,9,1,Stephen Curry
17,5,9,9,5,4,31,0,10,1,1,2,1,9,2,Stephen Curry
7,1,1,3,0,0,13,7,3,2,1,4,0,9,0,Ivica Zubac
7,3,1,5,3,0,16,6,4,0,0,1,0,9,1,Ivica Zubac
4,1,1,3,1,0,14,7,3,0,0,4,0,9,2,Ivica Zubac
14,8,7,5,7,2,11,2,2,1,0,1,0,9,0,Cooper Flagg
14,6,4,6,6,1,10,7,8,2,2,4,0,9,1,Cooper Flagg
