matchup,team,category,actual,sim_mean,sim_std,z_score,abs_z
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,STL,31.0,29.284,6.292483134661546,0.2727063328223445,0.2727063328223445
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,STL,33.0,27.62,6.306472865239333,0.8530917542916957,0.8530917542916957
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,BLK,13.0,18.21,5.899991525417643,-0.8830521158470988,0.8830521158470988
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,BLK,33.0,23.278,6.509125594117846,1.493595393025687,1.493595393025687
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,TO,84.0,80.678,11.176865213466609,0.2972210844949121,0.2972210844949121
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,TO,52.0,55.746,8.988297057841379,-0.4167641518625596,0.4167641518625596
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,DD,10.0,5.18,1.9797979694908265,2.434591849409579,2.434591849409579
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,DD,9.0,7.936,1.934917052485713,0.5498943733185463,0.5498943733185463
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,FG%,0.5035799522673031,0.5212738213109931,0.040258987001312314,-0.43950109929773457,0.43950109929773457
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,FG%,0.47721822541966424,0.48723651953031694,0.04132696772782315,-0.2424154168927311,0.2424154168927311
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,FT%,0.7792207792207793,0.7195382077699669,0.07662007459717099,0.7789417037844542,0.7789417037844542
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,FT%,0.75,0.7103754509228413,0.07084184668051567,0.5593381727590828,0.5593381727590828
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,3P%,0.3611111111111111,0.2994392025658258,0.05944090387428184,1.0375331552111333,1.0375331552111333
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,3P%,0.3712574850299401,0.30492826774935394,0.05721914483703465,1.1592137119402577,1.1592137119402577
Jay Stat vs Nadim the Dream,Jay Stat,3PM,41.0,37.114,8.762933527078703,0.44345880155221007,0.44345880155221007
Jay Stat vs Nadim the Dream,Nadim the Dream,3PM,52.0,33.438,7.3904097315372175,2.5116334106335225,2.5116334106335225
Jay Stat vs Nadim the Dream,Jay Stat,PTS,507.0,515.848,50.42912745626281,-0.1754541560861593,0.1754541560861593
Jay Stat vs Nadim the Dream,Nadim the Dream,PTS,563.0,512.84,45.985197618364104,1.090785787554573,1.090785787554573
Jay Stat vs Nadim the Dream,Jay Stat,REB,168.0,171.686,20.907209378585176,-0.17630282135001246,0.17630282135001246
Jay Stat vs Nadim the Dream,Nadim the Dream,REB,193.0,178.98,19.38833670019169,0.7231151499376115,0.7231151499376115
Jay Stat vs Nadim the Dream,Jay Stat,AST,71.0,102.888,14.93075537271976,-2.135725835965615,2.135725835965615
Jay Stat vs Nadim the Dream,Nadim the Dream,AST,124.0,123.108,16.394521523972575,0.0544084192207553,0.0544084192207553
Jay Stat vs Nadim the Dream,Jay Stat,STL,26.0,28.23,6.016402579615164,-0.3706533880488166,0.3706533880488166
Jay Stat vs Nadim the Dream,Nadim the Dream,STL,28.0,28.144,6.761897958413747,-0.021295796074653997,0.021295796074653997
Jay Stat vs Nadim the Dream,Jay Stat,BLK,22.0,23.958,6.011342279391517,-0.32571760332339483,0.32571760332339483
Jay Stat vs Nadim the Dream,Nadim the Dream,BLK,11.0,16.226,5.014670876538161,-1.0421421721713724,1.0421421721713724
Jay Stat vs Nadim the Dream,Jay Stat,TO,59.0,50.554,9.269902049104942,0.9111207384133583,0.9111207384133583
Jay Stat vs Nadim the Dream,Nadim the Dream,TO,62.0,49.366,7.838625134550064,1.611762239313309,1.611762239313309
Jay Stat vs Nadim the Dream,Jay Stat,DD,7.0,4.736,1.9147595149260912,1.1823939154507292,1.1823939154507292
Jay Stat vs Nadim the Dream,Nadim the Dream,DD,9.0,5.904,1.6978763205840406,1.823454372068178,1.823454372068178
Jay Stat vs Nadim the Dream,Jay Stat,FG%,0.4808743169398907,0.4675041166704464,0.0424855373869976,0.31470003892515563,0.31470003892515563
Jay Stat vs Nadim the Dream,Nadim the Dream,FG%,0.5036496350364964,0.49906923683255194,0.04052660042717151,0.11302201901133259,0.11302201901133259
Jay Stat vs Nadim the Dream,Jay Stat,FT%,0.8142857142857143,0.7229723751858964,0.07275815944599655,1.255025412889857,1.255025412889857
Jay Stat vs Nadim the Dream,Nadim the Dream,FT%,0.697841726618705,0.6908316702396835,0.0694442963571961,0.10094502711877666,0.10094502711877666
Jay Stat vs Nadim the Dream,Jay Stat,3P%,0.3082706766917293,0.24971879839052702,0.05585343081623039,1.0483130122095876,1.0483130122095876
