,Team Role,Team ID,Opponent ID,Player Name,Pro Team,gameDate,week,week_start_dt,week_end_dt
10163,Away,18,20,Austin Reaves,Los Angeles Lakers,2024-11-04,Week 3,2024-11-04,2024-11-10
10203,Away,18,20,Deni Avdija,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
10243,Away,18,20,Scotty Pippen Jr.,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
10442,Home,15,16,LaMelo Ball,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
10643,Home,15,16,Draymond Green,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
10763,Home,15,16,Josh Hart,New York Knicks,2024-11-04,Week 3,2024-11-04,2024-11-10
10802,Home,15,16,Bilal Coulibaly,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
10845,Home,15,16,Payton Pritchard,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
10924,Away,16,15,Domantas Sabonis,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
11005,Away,16,15,Jaylen Brown,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
11285,Away,16,15,Wendell Carter Jr.,Orlando Magic,2024-11-04,Week 3,2024-11-04,2024-11-10
11322,Away,16,15,Andre Drummond,Philadelphia 76ers,2024-11-04,Week 3,2024-11-04,2024-11-10
11363,Away,16,15,Brandin Podziemski,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
11442,Home,12,10,Joel Embiid,Philadelphia 76ers,2024-11-04,Week 3,2024-11-04,2024-11-10
11483,Home,12,10,LeBron James,Los Angeles Lakers,2024-11-04,Week 3,2024-11-04,2024-11-10
11522,Home,12,10,Tyrese Maxey,Philadelphia 76ers,2024-11-04,Week 3,2024-11-04,2024-11-10
11564,Home,12,10,DeMar DeRozan,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
11642,Home,12,10,Kyle Kuzma,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
11763,Home,12,10,Jerami Grant,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
11842,Home,12,10,Alexandre Sarr,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
11883,Home,12,10,Santi Aldama,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
11964,Away,10,12,Tyrese Haliburton,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
12204,Away,10,12,Khris Middleton,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
12243,Away,10,12,Donovan Clingan,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
12283,Away,10,12,Chris Paul,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
