,NAME,Position,eb_FG_estimate,FG_alpha,FG_beta,eb_FT_estimate,FT_alpha,FT_beta,eb_3P_estimate,3P_alpha,3P_beta
47,Devin Booker,G,0.4548119311970038,90.70105521815613,109.17156793395436,0.8286269038682862,23.04026141963799,5.533406822421533,0.3479527200758836,2.7828371664734424,5.4061607067098825
48,Devin Vassell,G-F,0.4669831027662607,90.53494371754883,103.77130135540531,0.7989374129329817,30.612642239951633,7.867438537600101,0.34152777917134025,34.97276827138279,67.18160059400834
49,Domantas Sabonis,C-F,0.5754192320352188,23.635134544009638,19.255955000091106,0.7378867140696084,48.56218141746356,15.879826742983077,0.32777692742836106,0.4669306114810614,1.626257876407367
50,Donovan Mitchell,G,0.4503315062311123,90.70105521815613,109.17156793395436,0.8137092563840136,23.04026141963799,5.533406822421533,0.3611890797438654,2.7828371664734424,5.4061607067098825
51,Donte DiVincenzo,G,0.45430138602979286,90.70105521815613,109.17156793395436,0.8116847579618378,23.04026141963799,5.533406822421533,0.37451327417536895,2.7828371664734424,5.4061607067098825
52,Draymond Green,F,0.49390276300355085,34.99085867903995,36.55678897036846,0.759260029746498,30.430329859332772,9.328210755304935,0.36407283392080453,1.5308388142484306,3.2945762473932465
53,Duncan Robinson,G-F,0.46262135144441974,90.53494371754883,103.77130135540531,0.7975116254693908,30.612642239951633,7.867438537600101,0.3397520208718368,34.97276827138279,67.18160059400834
54,Dyson Daniels,G,0.4516049814843599,90.70105521815613,109.17156793395436,0.8030205599253387,23.04026141963799,5.533406822421533,0.3250235876602329,2.7828371664734424,5.4061607067098825
55,Evan Mobley,F-C,0.5418532807181518,32.17612172546165,27.344806602137755,0.7500620285667222,29.542146455562055,10.100700097378843,0.3075108872231239,11.070113697699828,25.530621924052834
56,Franz Wagner,G-F,0.4681005839713344,90.53494371754883,103.77130135540531,0.803738160240872,30.612642239951633,7.867438537600101,0.33773433344805137,34.97276827138279,67.18160059400834
57,Fred VanVleet,G,0.45152466287651616,90.70105521815613,109.17156793395436,0.8110604074751092,23.04026141963799,5.533406822421533,0.37970108644919,2.7828371664734424,5.4061607067098825
58,Gary Trent Jr.,G,0.45164200430867,90.70105521815613,109.17156793395436,0.8117553733603314,23.04026141963799,5.533406822421533,0.32569842271741706,2.7828371664734424,5.4061607067098825
59,Giannis Antetokounmpo,F-G,0.4917251256736855,86.21196888219178,92.63433452303207,0.7451393689324264,18.714294971875105,4.955971376161066,0.3509739814911493,56.40211760164322,103.35643492283856
60,Grayson Allen,G,0.45379776569350666,90.70105521815613,109.17156793395436,0.8082920281920513,23.04026141963799,5.533406822421533,0.351040221863757,2.7828371664734424,5.4061607067098825
61,Harrison Barnes,F,0.48573305833270625,34.99085867903995,36.55678897036846,0.763641027781151,30.430329859332772,9.328210755304935,0.29764993443451826,1.5308388142484306,3.2945762473932465
62,Herbert Jones,F,0.4822720942250057,34.99085867903995,36.55678897036846,0.7741107844818594,30.430329859332772,9.328210755304935,0.35027756625078627,1.5308388142484306,3.2945762473932465
63,Immanuel Quickley,G,0.45185596556557095,90.70105521815613,109.17156793395436,0.8261893976413915,23.04026141963799,5.533406822421533,0.34484983370563144,2.7828371664734424,5.4061607067098825
64,Isaiah Hartenstein,F,0.5059106348906587,34.99085867903995,36.55678897036846,0.7528364308577707,30.430329859332772,9.328210755304935,0.0,1.5308388142484306,3.2945762473932465
65,Ivica Zubac,C,0.6113907989089284,25.321389968618398,16.267017301381586,0.6816952587860108,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
66,Ja Morant,G,0.4551504333422478,90.70105521815613,109.17156793395436,0.8034890062875348,23.04026141963799,5.533406822421533,0.32484661020451006,2.7828371664734424,5.4061607067098825
67,Jabari Smith Jr.,F,0.4843543162285738,34.99085867903995,36.55678897036846,0.7621782466228586,30.430329859332772,9.328210755304935,0.3457867025227917,1.5308388142484306,3.2945762473932465
68,Jaden Ivey,G,0.4490856137932163,90.70105521815613,109.17156793395436,0.7910934354120933,23.04026141963799,5.533406822421533,0.35555066951663544,2.7828371664734424,5.4061607067098825
69,Jaden McDaniels,F,0.4870662245763878,34.99085867903995,36.55678897036846,0.7660103917401222,30.430329859332772,9.328210755304935,0.30020055274982466,1.5308388142484306,3.2945762473932465
70,Jaime Jaquez Jr.,G-F,0.4678438052593287,90.53494371754883,103.77130135540531,0.8007173923857386,30.612642239951633,7.867438537600101,0.34351844187165725,34.97276827138279,67.18160059400834
71,Jakob Poeltl,C,0.5976315860320099,25.321389968618398,16.267017301381586,0.6475830488505063,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
72,Jalen Brunson,G,0.4584449690953139,90.70105521815613,109.17156793395436,0.8217446533234114,23.04026141963799,5.533406822421533,0.37582310745245173,2.7828371664734424,5.4061607067098825
73,Jalen Duren,C,0.5954077778644631,25.321389968618398,16.267017301381586,0.6963231127771272,11.298709417261428,5.925798260326362,0.11916132847336255,0.1661969325996309,1.1041625851149328
74,Jalen Green,G,0.4528580496907296,90.70105521815613,109.17156793395436,0.7969180060847063,23.04026141963799,5.533406822421533,0.3458482523428888,2.7828371664734424,5.4061607067098825
75,Jalen Johnson,F,0.4863431580033096,34.99085867903995,36.55678897036846,0.7666920358156856,30.430329859332772,9.328210755304935,0.3028811424325788,1.5308388142484306,3.2945762473932465
76,Jalen Suggs,G,0.4563960725417596,90.70105521815613,109.17156793395436,0.8059501721601373,23.04026141963799,5.533406822421533,0.33936240393454076,2.7828371664734424,5.4061607067098825
77,Jalen Williams,G,0.45593595320330993,90.70105521815613,109.17156793395436,0.7996257952922106,23.04026141963799,5.533406822421533,0.3325961527308746,2.7828371664734424,5.4061607067098825
78,Jamal Murray,G,0.456697703294563,90.70105521815613,109.17156793395436,0.8176209450720177,23.04026141963799,5.533406822421533,0.39206926177440754,2.7828371664734424,5.4061607067098825
79,James Harden,G,0.44843846222241507,90.70105521815613,109.17156793395436,0.812585102216643,23.04026141963799,5.533406822421533,0.299588429008581,2.7828371664734424,5.4061607067098825
80,Jaren Jackson Jr.,F,0.4807061067999933,34.99085867903995,36.55678897036846,0.7694300354871855,30.430329859332772,9.328210755304935,0.30144829620095565,1.5308388142484306,3.2945762473932465
81,Jarrett Allen,C-F,0.5803094639743241,23.635134544009638,19.255955000091106,0.7503656490263481,48.56218141746356,15.879826742983077,0.21056138359621676,0.4669306114810614,1.626257876407367
82,Jaylen Brown,F-G,0.481018820568016,86.21196888219178,92.63433452303207,0.780809950790181,18.714294971875105,4.955971376161066,0.35215848149174866,56.40211760164322,103.35643492283856
83,Jayson Tatum,F,0.4810946903113486,34.99085867903995,36.55678897036846,0.7775509658565765,30.430329859332772,9.328210755304935,0.3293240254395375,1.5308388142484306,3.2945762473932465
84,Jerami Grant,F,0.4746034822556145,34.99085867903995,36.55678897036846,0.7747847212855963,30.430329859332772,9.328210755304935,0.3519841799636491,1.5308388142484306,3.2945762473932465
85,Jeremy Sochan,F-G,0.47845443280052996,86.21196888219178,92.63433452303207,0.7867238274851428,18.714294971875105,4.955971376161066,0.3492887640886739,56.40211760164322,103.35643492283856
86,Jimmy Butler,F-G,0.48383372653143875,86.21196888219178,92.63433452303207,0.8038793828904803,18.714294971875105,4.955971376161066,0.35446921417729615,56.40211760164322,103.35643492283856
87,Joel Embiid,C,0.5710080021550156,25.321389968618398,16.267017301381586,0.739692148846463,11.298709417261428,5.925798260326362,0.39827005722198733,0.1661969325996309,1.1041625851149328
88,John Collins,F,0.502369436810539,34.99085867903995,36.55678897036846,0.7739892840039706,30.430329859332772,9.328210755304935,0.42534738831812596,1.5308388142484306,3.2945762473932465
89,Jonathan Kuminga,F,0.49321398638488884,34.99085867903995,36.55678897036846,0.7659741925831692,30.430329859332772,9.328210755304935,0.32522090033327106,1.5308388142484306,3.2945762473932465
90,Jordan Clarkson,G,0.45051805188755356,90.70105521815613,109.17156793395436,0.814230275589959,23.04026141963799,5.533406822421533,0.30930257407563716,2.7828371664734424,5.4061607067098825
